material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Steel,2018,China,Primary,21.704,1.535,6.121,8.601,3.853,3.129,0.044,0.487,0.022,0.017,0.674,0.412,10.1,Recycled,39.5,Ship,36.2,0.362,0.462,0.759,0.372,0,0.956,0.022,0.978,0.967,10.1,1.336634,-0.29252507800000016,0.0,0.0
Steel,2020,USA,Primary,23.01,2.033,6.548,9.507,3.482,3.473,0.01,0.3,0.003,0.003,0.816,0.556,3.5,Recycled,19.5,Truck,47.1,0.471,0.175,0.887,0.365,0,0.99,0.003,0.997,0.9935,3.5,3.857143,-2.8320715705000006,0.0,0.0
Aluminium,2021,Chile,Secondary,4.831,1.143,0.149,0.433,0.188,4.061,0.858,0.785,0.674,0.96,0.33,0.275,12.8,Cascaded,809.9,Ship,50.5,0.505,0.252,1.425,0.628,0,0.142,0.674,0.326,0.234,12.8,1.054688,0.753203008,0.753203,75.32
Zinc,2022,Germany,Secondary,7.935,1.276,0.868,0.605,0.829,5.632,0.73,0.918,0.67,1.051,0.492,0.473,3.1,Recycled,32.9,Truck,36.2,0.362,0.36,1.569,0.651,0,0.27,0.67,0.33,0.3,3.1,4.354839,-0.3064517,0.0,0.0
Lithium,2021,Canada,Primary,95.919,9.094,49.71,15.847,17.377,12.983,0.039,0.3,0.012,0.667,0.525,0.308,2.7,Recycled,43.0,Ship,48.3,0.483,0.329,55.578,0.306,0,0.961,0.012,0.988,0.9745,2.7,5.0,-3.8725000000000005,0.0,0.0
Lithium,2019,Germany,Secondary,20.59,3.168,3.657,3.749,1.251,11.932,0.742,0.776,0.576,27.909,0.088,0.363,6.6,Cascaded,213.1,Rail,38.8,0.388,0.261,48.453,0.545,0,0.258,0.576,0.424,0.341,6.6,2.045455,0.30249984499999993,0.3025,30.25
Aluminium,2020,Chile,Secondary,5.434,1.131,0.284,0.421,0.481,4.247,0.707,0.921,0.651,0.802,0.221,0.624,11.6,Recycled,686.2,Truck,25.4,0.254,0.271,1.232,0.599,0,0.293,0.651,0.349,0.321,11.6,1.163793,0.6264224469999999,0.626422,62.64
Copper,2023,India,Secondary,7.116,1.211,0.015,0.663,0.587,5.851,0.819,0.789,0.647,3.089,0.801,0.324,5.2,Recycled,364.2,Truck+Ship,39.8,0.398,0.424,4.774,0.674,1,0.181,0.647,0.353,0.267,5.2,2.596154,0.30682688199999997,0.306827,30.68
Steel,2021,Canada,Primary,22.912,1.901,7.812,8.637,3.078,3.385,0.002,0.3,0.0,0.0,0.684,0.268,15.5,Recycled,271.6,Rail,37.4,0.374,0.366,0.839,0.295,0,0.998,0.0,1.0,0.999,15.5,0.870968,0.129902968,0.129903,12.99
Lithium,2024,China,Primary,103.821,8.634,48.876,22.331,15.224,17.391,0.033,0.3,0.01,0.562,0.363,0.077,2.4,Downcycled,340.9,Truck,14.1,0.141,0.2,56.239,0.189,0,0.967,0.01,0.99,0.9785,2.4,5.625,-4.5040625,0.0,0.0
Steel,2020,Brazil,Primary,17.519,2.15,5.254,6.803,2.915,2.548,0.014,0.571,0.008,0.009,0.227,0.381,11.7,Recycled,40.4,Truck,15.5,0.155,0.383,1.141,0.278,0,0.986,0.008,0.992,0.989,11.7,1.153846,-0.141153694,0.0,0.0
Aluminium,2020,India,Secondary,6.24,0.911,0.152,0.664,0.406,5.018,0.746,0.734,0.548,0.914,0.745,0.34,7.8,Landfill,517.4,Truck,35.8,0.358,0.563,1.667,0.624,0,0.254,0.548,0.452,0.353,7.8,1.730769,0.38903854300000007,0.389039,38.9
Cobalt,2023,Chile,Secondary,19.934,3.942,2.477,3.74,2.417,11.299,0.69,0.813,0.561,16.602,0.255,0.258,4.9,Recycled,114.3,Truck+Ship,42.1,0.421,0.587,29.594,0.565,0,0.31,0.561,0.439,0.3745,4.9,2.755102,-0.031785699000000056,0.0,0.0
Steel,2019,Germany,Secondary,8.651,1.217,0.559,0.837,0.417,6.838,0.514,0.839,0.432,0.396,0.235,0.466,9.0,Recycled,75.6,Ship,51.8,0.518,0.297,0.916,0.566,0,0.486,0.432,0.568,0.527,9.0,1.5,0.20950000000000002,0.2095,20.95
Steel,2018,USA,Secondary,6.946,1.25,0.549,0.72,0.538,5.139,0.566,0.827,0.468,0.314,0.392,0.725,4.4,Recycled,28.7,Ship,45.0,0.45,0.35,0.672,0.611,1,0.434,0.468,0.532,0.483,4.4,3.068182,-0.481931906,0.0,0.0
Cobalt,2018,Brazil,Secondary,18.877,3.881,1.012,3.693,1.894,12.278,0.812,0.809,0.657,16.432,0.14,0.102,4.4,Downcycled,731.0,Truck+Ship,23.5,0.235,0.151,25.01,0.524,0,0.188,0.657,0.343,0.2655,4.4,3.068182,0.18539767899999993,0.185398,18.54
Aluminium,2022,Canada,Secondary,5.687,0.907,0.395,0.61,0.241,4.441,0.745,0.785,0.585,0.687,0.253,0.796,7.5,Landfill,227.4,Rail,32.3,0.323,0.395,1.175,0.604,0,0.255,0.585,0.415,0.335,7.5,1.8,0.3969999999999999,0.397,39.7
Nickel,2022,Australia,Primary,70.841,9.249,26.978,31.679,6.028,6.155,0.029,0.351,0.01,0.183,0.334,0.148,0.5,Recycled,392.0,Truck,40.0,0.4,0.451,18.252,0.257,0,0.971,0.01,0.99,0.9805,0.5,27.0,-25.4735,0.0,0.0
Lithium,2023,Canada,Primary,86.591,12.939,42.134,14.807,14.692,14.959,0.09,0.609,0.055,2.811,0.201,0.183,2.4,Recycled,4.5,Ship,56.0,0.56,0.416,51.102,0.366,0,0.91,0.055,0.945,0.9275,2.4,5.625,-4.2171875,0.0,0.0
Lithium,2020,Canada,Primary,76.637,12.879,37.529,16.294,13.234,9.58,0.016,0.3,0.005,0.209,0.466,0.197,1.4,Landfill,137.4,Rail,77.9,0.779,0.248,41.808,0.339,0,0.984,0.005,0.995,0.9895,1.4,9.642857,-8.5416070015,0.0,0.0
Steel,2018,Australia,Secondary,7.518,0.427,0.452,1.264,0.399,5.403,0.574,0.844,0.484,0.279,0.425,0.56,8.3,Recycled,41.2,Rail,77.7,0.777,0.175,0.577,0.672,0,0.426,0.484,0.516,0.471,8.3,1.626506,0.23391567400000002,0.233916,23.39
Nickel,2019,Australia,Primary,84.089,8.582,28.659,34.728,10.72,9.981,0.007,0.3,0.002,0.034,0.344,0.36,4.5,Recycled,119.0,Ship,13.6,0.136,0.178,16.751,0.207,0,0.993,0.002,0.998,0.9955,4.5,3.0,-1.9865000000000004,0.0,0.0
Copper,2019,India,Primary,26.577,4.083,7.573,11.005,5.112,2.887,0.042,0.344,0.014,0.08,0.463,0.5,15.8,Downcycled,116.4,Air,24.7,0.247,0.268,5.741,0.283,0,0.958,0.014,0.986,0.972,15.8,0.85443,0.16949404,0.169494,16.95
Aluminium,2024,Chile,Secondary,5.952,0.963,0.054,0.921,0.159,4.817,0.593,0.91,0.54,0.69,0.263,0.334,9.9,Recycled,35.2,Truck,6.4,0.064,0.464,1.277,0.507,0,0.407,0.54,0.46,0.4335,9.9,1.363636,0.40886379399999995,0.408864,40.89
Copper,2023,Chile,Primary,25.437,2.76,7.067,11.375,5.358,1.637,0.064,0.3,0.019,0.138,0.508,0.419,6.6,Recycled,173.5,Truck,42.7,0.427,0.243,7.237,0.31,0,0.936,0.019,0.981,0.9585,6.6,2.045455,-0.9605686175000001,0.0,0.0
Lithium,2019,Chile,Primary,76.654,10.869,40.804,12.173,14.105,9.572,0.023,0.308,0.007,0.313,0.478,0.294,5.3,Recycled,78.1,Ship,31.6,0.316,0.394,44.74,0.262,0,0.977,0.007,0.993,0.985,5.3,2.54717,-1.5089624499999998,0.0,0.0
Steel,2023,USA,Primary,16.725,2.126,4.784,6.917,2.921,2.103,0.039,0.477,0.019,0.017,0.503,0.275,7.7,Recycled,305.0,Truck,31.2,0.312,0.304,0.898,0.318,0,0.961,0.019,0.981,0.971,7.7,1.753247,-0.702402837,0.0,0.0
Aluminium,2018,Germany,Secondary,5.328,0.777,0.416,0.566,0.456,3.89,0.688,0.726,0.499,0.61,0.643,0.509,6.0,Downcycled,263.7,Truck+Ship,34.1,0.341,0.287,1.222,0.605,0,0.312,0.499,0.501,0.4065,6.0,2.25,0.08537500000000009,0.085375,8.54
Lithium,2018,USA,Primary,77.367,10.13,39.142,14.334,11.125,12.765,0.009,0.301,0.003,0.18,0.208,0.286,2.2,Recycled,695.3,Truck,61.4,0.614,0.515,60.019,0.275,0,0.991,0.003,0.997,0.994,2.2,6.136364,-5.099545816,0.0,0.0
Copper,2021,Germany,Primary,29.447,3.985,7.546,13.175,5.436,3.289,0.071,0.3,0.021,0.167,0.674,0.468,8.6,Recycled,67.9,Truck+Ship,26.0,0.26,0.113,7.969,0.308,0,0.929,0.021,0.979,0.954,8.6,1.569767,-0.4975577179999999,0.0,0.0
Steel,2018,USA,Secondary,7.247,0.76,0.738,1.199,0.366,4.943,0.857,0.906,0.777,0.677,0.633,0.399,10.2,Landfill,13.6,Truck,77.8,0.778,0.252,0.871,0.777,0,0.143,0.777,0.223,0.183,10.2,1.323529,0.7577941930000001,0.757794,75.78
Copper,2019,Australia,Secondary,6.835,1.184,0.602,0.402,1.02,4.811,0.795,0.878,0.698,3.077,0.539,0.412,3.9,Landfill,355.0,Truck+Ship,17.8,0.178,0.742,4.409,0.62,0,0.205,0.698,0.302,0.2535,3.9,3.461538,0.12250011699999996,0.1225,12.25
Aluminium,2024,Brazil,Secondary,5.975,0.826,0.0,0.596,0.305,5.074,0.662,0.787,0.521,0.579,0.383,0.493,5.8,Recycled,924.2,Rail,45.3,0.453,0.483,1.112,0.599,0,0.338,0.521,0.479,0.4085,5.8,2.327586,0.049181118999999995,0.049181,4.92
Aluminium,2020,India,Secondary,6.073,0.949,0.211,0.802,0.495,4.564,0.664,0.747,0.496,0.52,0.696,0.367,10.4,Recycled,529.3,Truck+Ship,16.1,0.161,0.195,1.049,0.563,0,0.336,0.496,0.504,0.42,10.4,1.298077,0.45480766000000006,0.454808,45.48
Steel,2022,Australia,Primary,23.197,1.982,7.412,8.718,3.505,3.563,0.031,0.338,0.01,0.009,0.134,0.646,8.9,Recycled,117.6,Rail,18.5,0.185,0.146,0.919,0.231,0,0.969,0.01,0.99,0.9795,8.9,1.516854,-0.48575849300000007,0.0,0.0
Nickel,2020,Australia,Secondary,19.108,2.41,1.283,4.202,0.932,12.69,0.625,0.866,0.541,7.827,0.246,0.341,3.8,Recycled,176.7,Truck,44.8,0.448,0.603,14.467,0.577,0,0.375,0.541,0.459,0.417,3.8,3.552632,-0.4814475439999999,0.0,0.0
Aluminium,2023,Canada,Secondary,4.725,0.684,0.249,0.466,0.338,3.672,0.774,0.816,0.631,0.797,0.666,0.487,3.0,Recycled,407.7,Ship,14.5,0.145,0.441,1.263,0.616,0,0.226,0.631,0.369,0.2975,3.0,4.5,-0.3387499999999999,0.0,0.0
Lithium,2022,Chile,Primary,98.542,11.176,49.374,23.268,12.534,13.366,0.005,0.3,0.001,0.046,0.304,0.336,2.7,Recycled,61.2,Ship,24.9,0.249,0.306,45.969,0.22,0,0.995,0.001,0.999,0.997,2.7,5.0,-3.9850000000000003,0.0,0.0
Aluminium,2020,Canada,Primary,52.593,15.56,10.213,32.998,4.682,4.699,0.001,0.3,0.0,0.0,0.673,0.278,2.9,Recycled,0.5,Truck,20.7,0.207,0.348,2.25,0.26,0,0.999,0.0,1.0,0.9995,2.9,4.655172,-3.6528444140000005,0.0,0.0
Copper,2020,Brazil,Primary,31.816,3.445,7.364,15.569,6.241,2.642,0.055,0.3,0.017,0.097,0.342,0.638,10.3,Downcycled,260.3,Truck+Ship,42.3,0.423,0.307,5.683,0.303,0,0.945,0.017,0.983,0.964,10.3,1.31068,-0.26349552,0.0,0.0
Cobalt,2022,USA,Primary,73.75,10.465,32.439,23.635,9.477,8.199,0.021,0.3,0.006,0.234,0.251,0.093,3.0,Landfill,479.1,Rail,62.7,0.627,0.083,38.976,0.268,0,0.979,0.006,0.994,0.9865,3.0,4.5,-3.4392500000000004,0.0,0.0
Lithium,2018,Canada,Primary,90.205,11.158,45.499,17.79,12.869,14.048,0.011,0.3,0.003,0.154,0.439,0.251,1.5,Recycled,239.7,Truck+Ship,32.8,0.328,0.291,51.399,0.249,0,0.989,0.003,0.997,0.993,1.5,9.0,-7.936999999999999,0.0,0.0
Zinc,2021,Canada,Secondary,8.777,1.471,0.792,1.284,0.849,5.852,0.755,0.771,0.582,1.114,0.325,0.547,3.2,Landfill,373.3,Air,58.5,0.585,0.339,1.914,0.64,0,0.245,0.582,0.418,0.3315,3.2,4.21875,-0.39851562500000015,0.0,0.0
Zinc,2019,Canada,Primary,27.293,3.397,6.915,11.256,4.371,4.751,0.047,0.548,0.026,0.05,0.768,0.493,0.9,Recycled,251.2,Truck,33.3,0.333,0.137,1.937,0.407,0,0.953,0.026,0.974,0.9635,0.9,15.0,-13.4525,0.0,0.0
Lithium,2022,India,Secondary,23.221,2.769,4.415,2.583,2.555,13.668,0.86,0.729,0.627,25.168,0.346,0.295,5.0,Downcycled,205.9,Truck,14.3,0.143,0.097,40.14,0.544,0,0.14,0.627,0.373,0.2565,5.0,2.7,0.3074499999999999,0.30745,30.74
Lithium,2020,Canada,Primary,87.807,10.357,40.753,14.9,14.63,17.524,0.036,0.3,0.011,0.64,0.495,0.377,4.6,Downcycled,161.1,Ship,44.4,0.444,0.508,58.182,0.3,0,0.964,0.011,0.989,0.9765,4.6,2.934783,-1.8658155994999999,0.0,0.0
Zinc,2019,Canada,Secondary,10.944,1.102,0.136,1.927,1.141,7.74,0.86,0.799,0.687,1.407,0.401,0.48,4.6,Downcycled,993.3,Truck+Ship,47.8,0.478,0.102,2.048,0.658,0,0.14,0.687,0.313,0.2265,4.6,2.934783,0.33527165049999996,0.335272,33.53
Steel,2018,Brazil,Primary,21.292,2.394,6.292,8.405,3.177,3.418,0.039,0.3,0.012,0.011,0.564,0.294,1.1,Landfill,1058.9,Truck,16.7,0.167,0.185,0.953,0.247,0,0.961,0.012,0.988,0.9745,1.1,12.272727,-10.9597724615,0.0,0.0
Aluminium,2019,Brazil,Primary,61.248,11.392,9.581,40.557,6.295,4.815,0.029,0.449,0.013,0.023,0.38,0.473,15.3,Downcycled,88.6,Truck+Ship,59.6,0.596,0.35,1.744,0.365,0,0.971,0.013,0.987,0.979,15.3,0.882353,0.13617641299999994,0.136176,13.62
Lithium,2021,USA,Primary,98.351,12.881,51.664,15.319,17.549,13.82,0.012,0.444,0.005,0.257,0.299,0.335,1.9,Recycled,615.1,Ship,62.3,0.623,0.399,51.375,0.339,0,0.988,0.005,0.995,0.9915,1.9,7.105263,-6.0448682645,0.0,0.0
Copper,2023,Canada,Secondary,6.868,1.196,0.689,0.791,0.517,4.871,0.85,0.742,0.631,3.447,0.431,0.616,13.3,Recycled,38.7,Truck,10.9,0.109,0.192,5.462,0.583,0,0.15,0.631,0.369,0.2595,13.3,1.015038,0.736597639,0.736598,73.66
Steel,2023,Germany,Secondary,5.938,0.869,0.611,0.867,0.278,4.183,0.701,0.872,0.612,0.544,0.309,0.799,4.1,Downcycled,106.6,Truck,33.8,0.338,0.261,0.889,0.631,0,0.299,0.612,0.388,0.3435,4.1,3.292683,-0.13103661050000004,0.0,0.0
Aluminium,2018,Chile,Primary,52.681,12.351,9.11,35.011,4.671,3.888,0.016,0.385,0.006,0.01,0.337,0.381,12.3,Recycled,193.2,Air,18.7,0.187,0.476,1.651,0.246,0,0.984,0.006,0.994,0.989,12.3,1.097561,-0.08548782900000007,0.0,0.0
Steel,2020,Australia,Primary,15.308,2.463,4.234,6.309,2.328,2.436,0.054,0.3,0.016,0.01,0.731,0.209,2.9,Downcycled,540.1,Rail,44.0,0.44,0.395,0.613,0.322,0,0.946,0.016,0.984,0.965,2.9,4.655172,-3.49224098,0.0,0.0
Zinc,2019,Australia,Primary,27.411,3.068,8.737,11.175,4.035,3.464,0.002,0.604,0.001,0.002,0.298,0.31,0.5,Recycled,51.9,Ship,17.0,0.17,0.248,2.155,0.291,0,0.998,0.001,0.999,0.9985,0.5,27.0,-25.959500000000002,0.0,0.0
Steel,2020,India,Primary,17.709,2.093,5.243,7.124,2.975,2.367,0.008,0.368,0.003,0.002,0.584,0.602,11.6,Recycled,56.7,Truck,49.0,0.49,0.506,0.8,0.358,0,0.992,0.003,0.997,0.9945,11.6,1.163793,-0.1573921385000001,0.0,0.0
Steel,2020,Canada,Secondary,7.189,0.905,0.117,1.134,0.665,5.273,0.57,0.902,0.514,0.373,0.378,0.333,6.0,Downcycled,333.9,Ship,23.9,0.239,0.168,0.726,0.551,0,0.43,0.514,0.486,0.458,6.0,2.25,-0.03049999999999997,0.0,0.0
Cobalt,2024,Chile,Primary,78.823,12.399,30.906,25.799,12.057,10.061,0.038,0.328,0.012,0.428,0.298,0.106,7.7,Downcycled,51.5,Truck,57.6,0.576,0.393,35.639,0.278,0,0.962,0.012,0.988,0.975,7.7,1.753247,-0.709415825,0.0,0.0
Aluminium,2020,China,Primary,65.703,14.464,9.588,44.025,5.359,6.731,0.009,0.322,0.003,0.007,0.565,0.243,12.7,Recycled,95.8,Ship,45.1,0.451,0.386,2.272,0.298,0,0.991,0.003,0.997,0.994,12.7,1.062992,-0.05661404799999992,0.0,0.0
Copper,2023,India,Secondary,6.823,1.049,0.104,0.523,0.466,5.73,0.849,0.867,0.735,3.592,0.667,0.616,12.6,Downcycled,279.0,Rail,21.0,0.21,0.253,4.887,0.676,0,0.151,0.735,0.265,0.208,12.6,1.071429,0.777142768,0.777143,77.71
Steel,2019,Chile,Secondary,7.718,1.072,0.741,1.005,0.55,5.422,0.863,0.913,0.788,0.444,0.232,0.766,8.2,Downcycled,155.3,Truck,12.3,0.123,0.367,0.564,0.626,0,0.137,0.788,0.212,0.1745,8.2,1.646341,0.7127134955000001,0.712713,71.27
Nickel,2024,Chile,Primary,73.388,8.686,27.616,30.787,9.424,5.56,0.055,0.464,0.025,0.398,0.437,0.282,1.2,Downcycled,190.7,Truck+Ship,26.4,0.264,0.248,15.919,0.3,1,0.945,0.025,0.975,0.96,1.2,11.25,-9.799999999999999,0.0,0.0
Copper,2018,USA,Secondary,8.942,0.67,0.13,0.764,0.966,7.082,0.863,0.863,0.745,4.223,0.54,0.442,7.3,Downcycled,47.6,Rail,35.4,0.354,0.384,5.668,0.671,0,0.137,0.745,0.255,0.196,7.3,1.849315,0.63753426,0.637534,63.75
Aluminium,2023,Canada,Primary,61.223,15.495,10.527,40.687,3.683,6.326,0.068,0.3,0.02,0.038,0.609,0.587,7.4,Incinerated,215.1,Truck+Ship,0.0,0.0,0.216,1.88,0.257,0,0.932,0.02,0.98,0.956,7.4,1.824324,-0.7440537439999999,0.0,0.0
Lithium,2019,Chile,Secondary,25.322,2.421,5.757,3.597,2.034,13.933,0.887,0.82,0.727,24.107,0.316,0.424,9.3,Recycled,185.1,Truck+Ship,16.3,0.163,0.081,33.159,0.59,0,0.113,0.727,0.273,0.193,9.3,1.451613,0.719838691,0.719839,71.98
Zinc,2019,Australia,Secondary,7.75,1.236,0.419,0.662,0.927,5.742,0.848,0.835,0.708,1.027,0.441,0.58,1.2,Landfill,5.0,Truck,54.6,0.546,0.422,1.45,0.696,0,0.152,0.708,0.292,0.222,1.2,11.25,-1.4975,0.0,0.0
Copper,2018,Australia,Primary,25.622,3.274,6.59,11.48,4.331,3.221,0.01,0.565,0.005,0.035,0.633,0.574,4.8,Landfill,407.2,Truck,17.9,0.179,0.288,6.91,0.36,0,0.99,0.005,0.995,0.9925,4.8,2.8125,-1.79140625,0.0,0.0
Steel,2022,Australia,Primary,19.237,2.148,5.469,7.979,2.904,2.885,0.043,0.3,0.013,0.012,0.447,0.339,7.9,Recycled,37.7,Truck+Ship,24.2,0.242,0.562,0.886,0.25,0,0.957,0.013,0.987,0.972,7.9,1.708861,-0.661012892,0.0,0.0
Aluminium,2023,China,Primary,56.22,10.518,7.522,37.481,5.131,6.086,0.003,0.3,0.001,0.002,0.382,0.68,4.7,Recycled,225.3,Truck,42.3,0.423,0.156,2.035,0.301,0,0.997,0.001,0.999,0.998,4.7,2.87234,-1.86659532,0.0,0.0
Aluminium,2021,China,Primary,70.459,12.955,8.593,47.378,5.402,9.086,0.015,0.3,0.004,0.009,0.639,0.304,9.0,Recycled,66.4,Truck,49.7,0.497,0.321,2.193,0.319,0,0.985,0.004,0.996,0.9905,9.0,1.5,-0.4857500000000001,0.0,0.0
Aluminium,2018,Canada,Primary,89.907,11.83,14.536,56.698,10.875,7.799,0.015,0.3,0.004,0.009,0.48,0.174,6.3,Landfill,608.1,Ship,51.7,0.517,0.089,2.174,0.287,0,0.985,0.004,0.996,0.9905,6.3,2.142857,-1.1224998585,0.0,0.0
Zinc,2021,USA,Primary,29.138,2.824,8.277,12.64,3.345,4.876,0.03,0.3,0.009,0.024,0.407,0.627,6.3,Recycled,424.3,Ship,51.0,0.51,0.056,2.685,0.323,0,0.97,0.009,0.991,0.9805,6.3,2.142857,-1.1010712885,0.0,0.0
Cobalt,2018,Chile,Secondary,21.668,4.212,3.194,3.392,2.273,12.809,0.894,0.84,0.751,22.085,0.355,0.324,4.5,Recycled,194.6,Rail,29.0,0.29,0.328,29.407,0.619,0,0.106,0.751,0.249,0.1775,4.5,3.0,0.4675,0.4675,46.75
Zinc,2018,Chile,Primary,24.156,3.599,7.102,10.474,3.514,3.067,0.016,0.3,0.005,0.012,0.657,0.426,8.9,Recycled,59.9,Truck,0.0,0.0,0.438,2.454,0.235,0,0.984,0.005,0.995,0.9895,8.9,1.516854,-0.500927033,0.0,0.0
Steel,2020,China,Primary,23.056,1.474,6.965,8.658,2.971,4.462,0.069,0.333,0.023,0.019,0.454,0.764,10.5,Recycled,171.5,Truck,32.3,0.323,0.695,0.836,0.326,0,0.931,0.023,0.977,0.954,10.5,1.285714,-0.22657115599999988,0.0,0.0
Aluminium,2019,China,Primary,53.386,15.788,8.736,34.555,5.189,4.907,0.025,0.3,0.007,0.015,0.309,0.202,17.1,Recycled,459.9,Rail,39.6,0.396,0.443,2.092,0.242,0,0.975,0.007,0.993,0.984,17.1,0.789474,0.22315758399999996,0.223158,22.32
Steel,2018,Brazil,Primary,19.737,2.23,6.657,7.229,3.097,2.755,0.019,0.3,0.006,0.003,0.745,0.523,5.4,Recycled,357.9,Truck+Ship,57.0,0.57,0.493,0.559,0.373,0,0.981,0.006,0.994,0.9875,5.4,2.5,-1.46875,0.0,0.0
Steel,2019,Canada,Primary,19.575,2.441,5.761,7.718,2.807,3.289,0.016,0.3,0.005,0.004,0.599,0.709,10.8,Recycled,390.2,Air,39.9,0.399,0.307,0.887,0.335,0,0.984,0.005,0.995,0.9895,10.8,1.25,-0.23687499999999995,0.0,0.0
Steel,2024,USA,Primary,18.503,1.852,5.838,7.372,2.755,2.538,0.006,0.455,0.003,0.002,0.63,0.698,12.2,Downcycled,22.8,Truck+Ship,41.2,0.412,0.229,0.831,0.385,1,0.994,0.003,0.997,0.9955,12.2,1.106557,-0.1015774935,0.0,0.0
Steel,2024,India,Secondary,5.831,0.686,0.207,0.703,0.299,4.623,0.653,0.789,0.515,0.3,0.831,0.511,12.5,Recycled,426.9,Ship,38.9,0.389,0.199,0.582,0.654,1,0.347,0.515,0.485,0.416,12.5,1.08,0.55072,0.55072,55.07
Steel,2019,Canada,Secondary,7.251,0.882,0.611,1.04,0.461,5.139,0.744,0.829,0.616,0.476,0.536,0.522,6.1,Recycled,45.7,Ship,57.4,0.574,0.193,0.772,0.682,0,0.256,0.616,0.384,0.32,6.1,2.213115,0.29180319999999993,0.291803,29.18
Copper,2019,USA,Secondary,6.438,0.783,0.295,0.558,0.614,4.97,0.864,0.847,0.731,3.216,0.629,0.351,5.3,Downcycled,508.2,Ship,40.1,0.401,0.298,4.4,0.68,0,0.136,0.731,0.269,0.2025,5.3,2.54717,0.484198075,0.484198,48.42
Steel,2020,Canada,Primary,21.923,2.406,7.501,8.519,3.019,2.884,0.025,0.466,0.012,0.014,0.309,0.261,7.4,Downcycled,192.0,Truck,39.6,0.396,0.345,1.144,0.298,1,0.975,0.012,0.988,0.9815,7.4,1.824324,-0.7905740060000002,0.0,0.0
Copper,2019,Canada,Secondary,7.095,0.795,0.354,1.198,0.569,4.974,0.721,0.799,0.576,3.079,0.488,0.533,2.9,Recycled,172.2,Ship,14.1,0.141,0.106,5.346,0.575,0,0.279,0.576,0.424,0.3515,2.9,4.655172,-0.6362929580000001,0.0,0.0
Zinc,2024,India,Secondary,7.925,0.841,0.635,1.224,0.984,5.083,0.56,0.851,0.477,0.925,0.587,0.599,8.0,Recycled,174.4,Truck+Ship,42.7,0.427,0.043,1.94,0.629,0,0.44,0.477,0.523,0.4815,8.0,1.6875,0.18746875000000007,0.187469,18.75
Steel,2023,China,Secondary,7.228,0.946,0.642,0.912,0.688,4.986,0.729,0.906,0.661,0.481,0.19,0.7,8.3,Cascaded,48.5,Truck+Ship,40.5,0.405,0.21,0.727,0.634,0,0.271,0.661,0.339,0.305,8.3,1.626506,0.50391567,0.503916,50.39
Copper,2018,China,Secondary,7.723,1.114,0.601,1.067,0.736,5.319,0.835,0.867,0.725,2.872,0.69,0.798,6.5,Recycled,626.4,Ship,83.7,0.837,0.162,3.962,0.82,0,0.165,0.725,0.275,0.22,6.5,2.076923,0.54307694,0.543077,54.31
Nickel,2024,Australia,Primary,71.17,7.156,26.509,29.314,7.412,7.936,0.037,0.537,0.02,0.345,0.543,0.122,1.4,Recycled,20.1,Truck,54.8,0.548,0.072,17.26,0.374,0,0.963,0.02,0.98,0.9715,1.4,9.642857,-8.3680355755,0.0,0.0
Copper,2019,Germany,Secondary,7.226,1.221,0.029,0.84,0.693,5.664,0.86,0.797,0.686,3.236,0.698,0.272,6.6,Recycled,132.4,Truck,35.4,0.354,0.116,4.717,0.657,0,0.14,0.686,0.314,0.227,6.6,2.045455,0.535681715,0.535682,53.57
Steel,2021,Chile,Secondary,8.431,1.123,0.555,1.436,0.588,5.851,0.84,0.845,0.709,0.513,0.66,0.264,9.9,Landfill,391.8,Truck,51.8,0.518,0.719,0.723,0.692,0,0.16,0.709,0.291,0.2255,9.9,1.363636,0.692500082,0.6925,69.25
Steel,2020,Brazil,Secondary,7.564,1.197,0.232,1.481,0.446,5.405,0.764,0.907,0.692,0.374,0.531,0.364,13.3,Recycled,953.5,Truck,43.6,0.436,0.457,0.541,0.666,0,0.236,0.692,0.308,0.272,13.3,1.015038,0.723909664,0.72391,72.39
Aluminium,2023,China,Primary,64.392,14.724,10.616,42.043,6.138,5.595,0.001,0.316,0.0,0.0,0.562,0.549,8.9,Downcycled,94.5,Rail,24.3,0.243,0.402,1.784,0.283,0,0.999,0.0,1.0,0.9995,8.9,1.516854,-0.5160955730000001,0.0,0.0
Copper,2022,India,Secondary,6.306,0.922,0.68,0.585,0.415,4.625,0.597,0.793,0.474,2.425,0.878,0.655,8.1,Recycled,217.5,Truck,42.8,0.428,0.311,5.115,0.67,0,0.403,0.474,0.526,0.4645,8.1,1.666667,0.22583317849999995,0.225833,22.58
